Org District,AC Name,Org Mandal,Local Body
Kollam West,Chathannoor,Chathannoor,Chathanoor Grampanchayat
Kollam West,Chathannoor,Paravoor,Kalluvaathukkal Grama Panchayath
Kollam West,Chathannoor,Paravoor,Poothakkulam Gramapanchayath
Kollam East,Chadayamangalam,Chithara,Kummil Gramapanchayath
Idukki South,Udumbanchola,Vandanmedu,Vandanmedu Gramapanchayat
Kollam East,Chadayamangalam,Chadayamangalam,Nilamel Gramapanchayat
Kollam East,Chadayamangalam,Chadayamangalam,Elamadu Grama Panchayat
Kollam East,Chadayamangalam,Kuravilangadu,Velinalloor Grama Panchayat
Kollam East,Chadayamangalam,Chadayamangalam,Chadayamangalam Gramapanchayath
Kollam East,Chadayamangalam,Chadayamangalam,Kadakkal Gramapanchayath
Kollam East,Chadayamangalam,Chithara,Chithara Gramapanchayath
Kollam West,Kundara,Mukhathala,Nedumbana Gramapanchayath
Kollam West,Kundara,Mukhathala,Kottamkara Grama Panchayat
Kollam West,Kundara,Mukhathala,Thrikkovilvattom Gramapanchayat
Kollam West,Kundara,Kundara,Elampalloor Grama Panchayat
Kollam West,Chavara,Chavara,Neendakara Gramapanchayat
Kollam West,Chavara,Panmana,Panmana Gramapanchayath
Kollam West,Chavara,Panmana,Thevalakkara Gramapanchayat
Kollam West,Chavara,Chavara,Chavara Gramapanchayath
Kollam West,Chavara,Panmana,Thekkumbhagam Gramapanchayath
Kollam East,Kunnathur,Sasthamcotta,Munroethuruth Grama Panchayat
Idukki South,Udumbanchola,Vandanmedu,Pampadumpara Gramapanchayath
Ernakulam North,Perumbavoor,Perumbavoor,Perumbavoor
Kollam West,Kundara,Kundara,Perayam Gramapanchayath
Kollam West,Kundara,Kundara,Kundara Gramapanchayath
Kollam West,Kundara,Kundara,Perinad Gramapanchayath
Kollam West,Kollam,Thrikkadavoor,Panayam Gramapanchayath
Palakkad West,Tarur,Vadakkenchery,Puthukode Gramapanchayath
Kollam East,Kottarakkara,Neduvathur,Neduvathoor Grama Panchayat
Kottayam West,Kaduthuruthy,Kaduthuruthy,Manjoor Gramapanchayath
Kollam East,Kottarakkara,Neduvathur,Ezhukone Gramapanchayath
Kollam East,Kottarakkara,Neduvathur,Kareepra Gramapanchayath
Kollam West,Chathannoor,Chathannoor,Pooyappally Grama Panchayath
Kollam East,Kottarakkara,Kottarakkara,Veliyam Gramapanchayath
Kollam East,Punaloor,Punalur,Aryankavu Gramapanchayat
Kollam East,Punaloor,Punalur,Thenmala Gramapanchayath
Ernakulam North,Kalamassery,Kalamassery,Eloor
Kollam East,Punaloor,Punalur,Karavaloor Gramapanchayath
Kollam East,Punaloor,Anchal,Edamulakkal Gramapanchayath
Kollam East,Punaloor,Anchal,Anchal Gramapanchayath
Kollam East,Chadayamangalam,Chithara,Alayaman Gramapanchayath
Kollam East,Punaloor,Anchal,Yeroor Gramapanchayath
Kollam East,Punaloor,Anchal,Kulathupuzha Gramapanchayath
Ernakulam City,Vypen,Cherayi,Pallippuram Gramapanchayath
Kollam East,Pathanapuram,Pathanapuram,Pathanapuram Gramapanchayath
Kannur South,Kuthuparamba,Kuthuparamba,Mokeri
Kollam East,Pathanapuram,Pathanapuram,Pattazhi Gramapanchayath
Kollam East,Pathanapuram,Pathanapuram,Pattazhi Vadakkekara Gramapanchayath
Kollam East,Pathanapuram,Kunnikkodu,Vilakkudy Grama Panchayat
Kollam East,Kunnathur,Kunnathur,Pavithreswaram Gramapanchayath
Kollam East,Kottarakkara,Neduvathur,Kulakkada Gramapanchayath
Kollam East,Kottarakkara,Kottarakkara,Mylom Gramapanchayath
Kollam East,Pathanapuram,Kunnikkodu,Vettikavala Gramapanchayath
Kollam East,Kunnathur,Sasthamcotta,Mynagappally Grama Panchayat
Kollam East,Kunnathur,Kunnathur,Sooranad North Grama Panchayat
Kollam East,Kunnathur,Kunnathur,Kunnathoor Gramapanchayat
Kollam East,Kunnathur,Kunnathur,Poruvazhi Gramapanchayath
Kollam East,Kunnathur,Kunnathur,Sooranad South Grama Panchayat
Kollam East,Kunnathur,Sasthamcotta,West Kallada Gramapanchayat
Kollam West,Karunagappally,Oachira,Thodiyoor Grama Panchayat
Kollam West,Karunagappally,Karunagappally,Alappad Grama Panchayat
Kollam West,Karunagappally,Karunagappally,Clappana Gramapanchayat
Kollam West,Karunagappally,Oachira,Thazhava Grama Panchayat
Kollam West,Karunagappally,Oachira,Oachira Gramapanchayath
Pathanamthitta,Adoor,Pandalam,Pandalam
Pathanamthitta,Aranmula,Pathanamthitta,Pathanamthitta
Pathanamthitta,Adoor,Adoor,Adoor
Pathanamthitta,Adoor,Pandalam,Pallikkal Grampanchayat
Pathanamthitta,Adoor,Pandalam,Kodumon Gramapanchayath
Pathanamthitta,Konni,Konni,Kalanjoor Gramapanchayath
Pathanamthitta,Adoor,Adoor,Kadapra Gramapanchayath
Pathanamthitta,Adoor,Adoor,Ezhamkulam Gramapanchayath
Pathanamthitta,Adoor,Adoor,Earathu Gramapanchayath
Pathanamthitta,Konni,Konni,Enadimangalam
Pathanamthitta,Aranmula,Pathanamthitta,Mezhuvely Gramapanchayath
Pathanamthitta,Aranmula,Aranmula,Aranmula
Pathanamthitta,Aranmula,Pathanamthitta,Kulanada Gramapanchayath
Pathanamthitta,Adoor,Pandalam,Thumpamon Grampanchayat
Pathanamthitta,Adoor,Pandalam,Panthalam Thekkekkara Grampanchayat
Pathanamthitta,Konni,Chittar,Malayalapuzha Gramapanchayath
Pathanamthitta,Konni,Chittar,Thannithodu Gramapanchayath
Pathanamthitta,Konni,Konni,Vallikkodu Gramapanchayath
Pathanamthitta,Konni,Chittar,Mylapra Gramapanchayath
Pathanamthitta,Konni,Konni,Pramadam Gramapanchayath
Pathanamthitta,Konni,Konni,Aruvappulam
Pathanamthitta,Konni,Konni,Konni
Pathanamthitta,Ranni,Ranni,Vechoochira Gramapanchayath
Pathanamthitta,Ranni,Ranni,Naranammuzhi Gramapanchayath
Pathanamthitta,Konni,Chittar,Seethathodu
Pathanamthitta,Ranni,Ranni,Vadasserikkara Gramapanchayath
Pathanamthitta,Ranni,Ranni,Ranni Perunadu Grama Panchayat
Pathanamthitta,Ranni,Ayiroor,Ranni Angadi Gramapanchayath
Pathanamthitta,Ranni,Ranni,Ranni Gramapanchayath
Pathanamthitta,Ranni,Ranni,Ranni Pazhavangadi Gramapanchayath
Pathanamthitta,Aranmula,Aranmula,Naranganam Gramapanchayath
Pathanamthitta,Aranmula,Aranmula,Mallappuzhassery Gramapanchayath
Pathanamthitta,Aranmula,Aranmula,Kozhanchery Gramapanchayath
Palakkad West,Pattambi,Pattambi,Ongallur Gramapanchayath
Pathanamthitta,Ranni,Ayiroor,Cherukole Gramapanchayath
Pathanamthitta,Aranmula,Pathanamthitta,Elanthoor
Pathanamthitta,Aranmula,Pathanamthitta,Chenneerkara Gramapanchayath
Alappuzha South,Haripad,Haripad,Haripad
Alappuzha North,Cherthala,Cherthala,Cherthala
Wayanad,Mananthavady,Panamaram,Thondernad
Alappuzha South,Chenganur,Chengannur,Chengannur
Alappuzha South,Mavelikkara,Mavelikkara,Mavelikkara
Alappuzha South,Kayamkulam,Kayamkulam,Kayamkulam
Alappuzha South,Haripad,Karthikappalli,Chingoli gram panchayat
Alappuzha South,Kayamkulam,Kayamkulam,Devikulangara Grama Panchayat
Alappuzha South,Kayamkulam,Chettikulangara,Krishnapuram Gram panchayat
Alappuzha South,Haripad,Karthikappalli,Arattupuzha
Alappuzha South,Haripad,Karthikappalli,Muthukulam gram panchayat
Alappuzha South,Haripad,Karthikappalli,Cheppad Grama Panchayat
Alappuzha South,Kayamkulam,Kayamkulam,Kandalloor
Alappuzha South,Kayamkulam,Kayamkulam,Pathiyoor gram panchayat
Alappuzha South,Mavelikkara,Charummoodu,Vallikkunnam grama panchayat
Alappuzha South,Mavelikkara,Mavelikkara,Thamarakkulam Grama Panchayath
Alappuzha South,Kayamkulam,Chettikulangara,Bharanikkavu Gram Panchayat
Alappuzha South,Mavelikkara,Charummoodu,Palamel gram panchayat
Alappuzha South,Mavelikkara,Mavelikkara,Nooranadu grama panchayat
Alappuzha South,Mavelikkara,Charummoodu,Chunakkara grama panchayat
Alappuzha South,Chenganur,Mannar,Mannar grama panchayat
Alappuzha South,Mavelikkara,Mavelikkara,Thazhakkara grama panchayat
Alappuzha South,Chenganur,Mannar,Chennithala Thripperumthura gram panchayat
Alappuzha South,Kayamkulam,Chettikulangara,Chettikulangara Grama Panchayat
Alappuzha South,Mavelikkara,Mavelikkara,Mavelikkara Thekkakkara Grama Panchayat
Alappuzha North,Kuttanad,Thakazhy,Veeyapuram Grama Panchayath
Alappuzha South,Haripad,Haripad,Cheruthana Grama Panchayath
Alappuzha South,Haripad,Haripad,Pallippadu panchayat
Alappuzha South,Haripad,Haripad,Karuvatta Grama Panchayath
Alappuzha South,Haripad,Haripad,Kumarapuram gram panchayat
Alappuzha South,Haripad,Karthikappalli,Trikkunnappuzha grama panchayath
Alappuzha South,Haripad,Karthikappalli,Karthikapally gram panchayat
Alappuzha South,Chenganur,Chengannur,Venmony
Alappuzha South,Chenganur,Chengannur,Mulakkuzha grama panchayat
Alappuzha South,Chenganur,Chengannur,Thiruvnavandoor Grama Panchayat
Alappuzha South,Chenganur,Chengannur,Pandanad grama panchayat
Alappuzha South,Chenganur,Mannar,Budhanoor Grama Panchayat
Alappuzha South,Chenganur,Mannar,Puliyoor panchayath
Alappuzha South,Chenganur,Chengannur,Ala
Alappuzha South,Chenganur,Mannar,Cheriyanadu panchayat
Alappuzha North,Kuttanad,Kuttanadu,Veliyanadu grama panchayat
