Zone,Org District,AC,Org Mandal,LBName,Target
Alappuzha,Kottayam West,Pala,Bharananganam,Thalappalam Gramapanchayath,Win
Alappuzha,Kottayam West,Kottayam,Panachikadu,Vijayapuram Gramapanchayath,NA
Alappuzha,Kottayam East,Puthuppally,Puthuppally,Puthuppally Gramapanchayath,NA
Alappuzha,Kottayam East,Poonjar,Poonjar,Teekoy Gramapanchayath,Win
Alappuzha,Kottayam East,Poonjar,Poonjar,Poonjar Thekkekara Grama Panchayat,Win
Alappuzha,Kottayam East,Poonjar,Mundakkayam,Parathodu Gramapanchayath,NA
Alappuzha,Kottayam East,Poonjar,Poonjar,Poonjar Grampanchayath,Win
Alappuzha,Kottayam East,Poonjar,Mundakkayam,Mundakayam Gramapanchayath,NA
Alappuzha,Kottayam West,Pala,Pala,Mutholy Gramapanchayath,Win
Alappuzha,Kottayam East,Kanjirappally,Kanjirappally,Kanjirappally Grampanchayath,NA
Alappuzha,Kottayam East,Poonjar,Mundakkayam,Erumely,NA
Alappuzha,Kottayam East,Kanjirappally,Kanjirappally,Manimala Gramapanchayath,NA
Alappuzha,Kottayam West,Pala,Bharananganam,Meenachil gramapanchayath,Win
Alappuzha,Kottayam East,Kanjirappally,Vazhoor,Vazhoor Grampanchayat,NA
Alappuzha,Kottayam West,Pala,Pala,Kozhuvanal Gramapanchayath,Win
Ernakulam,Ernakulam North,Perumbavoor,Kuruppampady,Mudakkuzha Gramapanchayath,Opposition
Alappuzha,Kottayam East,Kanjirappally,Vazhoor,Kangazha Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,Koipram Gramapanchayath,Win
Alappuzha,Kottayam East,Changanassery,Madappally,Vazhapally gram panchayat,NA
Alappuzha,Kottayam East,Puthuppally,Puthuppally,Vakathanam Gramapanchayath,NA
Alappuzha,Kottayam West,Ettumanoor,Kumarakom,Kumarakom Gramapanchayath,Win
Alappuzha,Kottayam East,Changanassery,Changanassery,Paippadu Gramapanchayath,NA
Alappuzha,Kottayam West,Vaikom,Vaikom,Kallara Grampanchayat,Win
Alappuzha,Kottayam East,Puthuppally,Puthuppally,Meenadom Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Ranni,Ayiroor,Ayiroor,Win
Alappuzha,Kottayam East,Puthuppally,Ayarkunnam,Manarcadu Gramapanchayath,NA
Alappuzha,Idukki South,Peerumade,Elappara,Ayyappankovil,Win
Alappuzha,Kottayam East,Puthuppally,Puthuppally,Pampady Gramapanchayath,NA
Alappuzha,Idukki South,Peerumade,Elappara,Upputhara,Win
Alappuzha,Idukki South,Idukki,Idukki,Arakulam,Win
Alappuzha,Kottayam East,Puthuppally,Ayarkunnam,Akalakkunnam,NA
Alappuzha,Idukki North,Devikulam,Devikulam,Vattavada Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Thiruvalla,Peringara Gramapanchayath,Win
Alappuzha,Kottayam West,Pala,Bharananganam,Thalanadu Gramapanchayath,NA
Alappuzha,Idukki North,Devikulam,Adimali,Pallivasal Gramapanchayat,Win
Alappuzha,Idukki North,Devikulam,Adimali,Vellathooval,Win
Alappuzha,Idukki North,Devikulam,Adimali,Baisonvalley Gramapanchayat,Win
Alappuzha,Kottayam West,Pala,Bharananganam,Moonnilavu Gramapanchayath,NA
Alappuzha,Kottayam West,Pala,Bharananganam,Melukavu Gramapanchayath,NA
Ernakulam,Ernakulam North,Kalamassery,Karumalloor,Kunnukara Gramapanchayath,Win
Ernakulam,Ernakulam North,Aluva,Nedumbassery,Chengamanadu Gramapanchayath,Win
Alappuzha,Kottayam West,Pala,Pala,Kadanadu Gramapanchayath,NA
Ernakulam,Ernakulam City,Thripunithura,Palluruthy,Kumbalanghy Gramapanchayath,Win
Alappuzha,Kottayam West,Pala,Pala,Karoor Grampanchayath,NA
Alappuzha,Kottayam West,Pala,Bharananganam,Bharananganam Gramapanchayath,NA
Kozhikode,Kannur South,Peravoor,Iritty,Iritty,Opposition
Ernakulam,Ernakulam City,Vypen,Cherayi,Kuzhuppilly Gramapanchayath,Win
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,Uzhavoor,NA
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,Kuravilangadu Gramapanchayath,NA
Palakkad,Wayanad,Kalpetta,Padinjarathara,Vengappally,Opposition
Alappuzha,Kottayam West,Kaduthuruthy,Kaduthuruthy,Kanakkary Gramapanchayath,NA
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,Marangattupally Gramapanchayath,NA
Alappuzha,Kottayam West,Kaduthuruthy,Kaduthuruthy,Kadaplamattom Gramapanchayath,NA
Kozhikode,Kasaragod,Udma,Udma,Chemnad,Opposition
Alappuzha,Kottayam West,Ettumanoor,Ettumanoor,Athirampuzha,NA
Alappuzha,Kottayam West,Ettumanoor,Kumarakom,Arpookkara,NA
Alappuzha,Kottayam West,Ettumanoor,Kumarakom,Thiruvarppu Gramapanchayat,NA
Ernakulam,Ernakulam City,Vypen,Cherayi,Nayarambalam Gramapanchayath,Win
Alappuzha,Kottayam West,Ettumanoor,Ettumanoor,Neendoor Gramapanchayat,NA
Alappuzha,Kottayam West,Vaikom,Thalayolaparambu,Velloor Grama Panchayat,NA
Alappuzha,Kottayam West,Vaikom,Thalayolaparambu,Thalayolaparambu Gramapanchayath,NA
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,Njeezhoor Gramapanchayat,NA
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,Mulakkulam Gramapanchayath,NA
Ernakulam,Ernakulam City,Vypen,Vypin,Elamkunnapuzha Gramapanchayath,Win
Alappuzha,Kottayam West,Kaduthuruthy,Kaduthuruthy,Kaduthuruthy,NA
Alappuzha,Kottayam West,Vaikom,Thalayolaparambu,Udayanapuram,NA
Alappuzha,Kottayam West,Vaikom,Vaikom,Vechoor Grampanchayat,NA
Palakkad,Palakkad East,Nenmara,Kollengode,Vadavannur gramapanchayat,Opposition
Alappuzha,Kottayam West,Vaikom,Thalayolaparambu,Maravanthuruthu Grama Panchayat,NA
Alappuzha,Kottayam West,Vaikom,Thalayolaparambu,Chempu Gramapanchayath,NA
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,Thakazhy Grama Panchayat,Opposition
Alappuzha,Idukki South,Idukki,Kattappana,Kattappana,NA
Ernakulam,Ernakulam North,Kalamassery,Kalamassery,Kadungalloor,Win
Ernakulam,Thrissur North,Kunnamkulam,Kunnamkulam,Kunnamkulam,Win
Alappuzha,Idukki South,Peerumade,Elappara,Elappara Gramapanchayath,NA
Alappuzha,Idukki South,Peerumade,Peermade,Peermade Gramapanchayath,NA
Alappuzha,Idukki South,Peerumade,Elappara,Kokkayar Gramapanchayath,NA
Alappuzha,Idukki South,Peerumade,Peermade,Kumily,NA
Alappuzha,Idukki South,Peerumade,Elappara,Peruvanthanam Gramapanchayath,NA
Palakkad,Palakkad East,Chittur,Kozhinjampara,Eruthampathy Gramapanchayath,Opposition
Ernakulam,Thrissur South,Chalakudy,Koratty,Athirappilly,Win
Alappuzha,Idukki North,Thodupuzha,Thodupuzha,Karimkunnam Gramapanchayath,NA
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Edavetty Gramapanchayath,NA
Alappuzha,Idukki North,Thodupuzha,Thodupuzha,Muttom Gramapanchayath,NA
Ernakulam,Thrissur South,Chalakudy,Koratty,Meloor,Win
Alappuzha,Idukki South,Peerumade,Peermade,Chakkupallam Gramapanchayath,NA
Ernakulam,Thrissur South,Kodungallur,Mala,Mala,Win
Alappuzha,Idukki South,Udumbanchola,Vandanmedu,Erattayar,NA
Alappuzha,Idukki South,Idukki,Kattappana,Kanchiyar Gramapanchayath,NA
